,id,park,plain_dates,genus_species,url,image_url,hyperlink,status
8873,79097098,Tilden,20210516,Cirsium vulgare,https://www.inaturalist.org/observations/79097098,https://inaturalist-open-data.s3.amazonaws.com/photos/129518759/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/129518759/medium.jpeg,1
9010,89578015,Tilden,20210801,Cirsium vulgare,https://www.inaturalist.org/observations/89578015,https://inaturalist-open-data.s3.amazonaws.com/photos/147940428/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/147940428/medium.jpeg,1
9069,15341759,Tilden,20180811,Cirsium vulgare,https://www.inaturalist.org/observations/15341759,https://inaturalist-open-data.s3.amazonaws.com/photos/22981063/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/22981063/medium.jpg,1
9177,31480647,Tilden,20190824,Cirsium vulgare,https://www.inaturalist.org/observations/31480647,https://inaturalist-open-data.s3.amazonaws.com/photos/49271774/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/49271774/medium.jpg,1
9185,33765816,Tilden,20190910,Cirsium vulgare,https://www.inaturalist.org/observations/33765816,https://inaturalist-open-data.s3.amazonaws.com/photos/53064732/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/53064732/medium.jpg,1
9412,42439818,Tilden,20200410,Cirsium vulgare,https://www.inaturalist.org/observations/42439818,https://inaturalist-open-data.s3.amazonaws.com/photos/67386922/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/67386922/medium.jpg,0
9428,42063979,Tilden,20200412,Cirsium vulgare,https://www.inaturalist.org/observations/42063979,https://inaturalist-open-data.s3.amazonaws.com/photos/66763375/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/66763375/medium.jpeg,1
9640,44187490,Tilden,20200426,Cirsium vulgare,https://www.inaturalist.org/observations/44187490,https://static.inaturalist.org/photos/70055748/medium.jpeg,https://static.inaturalist.org/photos/70055748/medium.jpeg,1
9836,52188741,Tilden,20200704,Cirsium vulgare,https://www.inaturalist.org/observations/52188741,https://inaturalist-open-data.s3.amazonaws.com/photos/82943930/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/82943930/medium.jpg,1
9849,53336770,Tilden,20200716,Cirsium vulgare,https://www.inaturalist.org/observations/53336770,https://inaturalist-open-data.s3.amazonaws.com/photos/84824880/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/84824880/medium.jpeg,1
9852,53405835,Tilden,20200717,Cirsium vulgare,https://www.inaturalist.org/observations/53405835,https://inaturalist-open-data.s3.amazonaws.com/photos/84941052/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/84941052/medium.jpg,1
9856,53864263,Tilden,20200721,Cirsium vulgare,https://www.inaturalist.org/observations/53864263,https://inaturalist-open-data.s3.amazonaws.com/photos/85683771/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/85683771/medium.jpg,1
9870,56056055,Tilden,20200810,Cirsium vulgare,https://www.inaturalist.org/observations/56056055,https://static.inaturalist.org/photos/89299553/medium.jpg,https://static.inaturalist.org/photos/89299553/medium.jpg,1
9890,66948058,Tilden,20201222,Cirsium vulgare,https://www.inaturalist.org/observations/66948058,https://inaturalist-open-data.s3.amazonaws.com/photos/108046054/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108046054/medium.jpeg,1
10067,76878060,Tilden,20210502,Cirsium vulgare,https://www.inaturalist.org/observations/76878060,https://inaturalist-open-data.s3.amazonaws.com/photos/125734155/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/125734155/medium.jpg,6
10081,80940720,Tilden,20210530,Cirsium vulgare,https://www.inaturalist.org/observations/80940720,https://static.inaturalist.org/photos/141793648/medium.jpg,https://static.inaturalist.org/photos/141793648/medium.jpg,1
10129,87327230,Tilden,20210716,Cirsium vulgare,https://www.inaturalist.org/observations/87327230,https://static.inaturalist.org/photos/143960813/medium.jpeg,https://static.inaturalist.org/photos/143960813/medium.jpeg,1
10134,92105093,Tilden,20210820,Cirsium vulgare,https://www.inaturalist.org/observations/92105093,https://inaturalist-open-data.s3.amazonaws.com/photos/152683639/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/152683639/medium.jpg,1
